data;
param nombreJob := 30;
param nombreRessource := 3;
param duree := 1 2 2 5 3 5 4 1 5 3 6 4 7 7 8 1 9 4 10 5 11 7 12 6 13 7 14 7 15 8 16 6 17 5 18 10 19 8 20 2 21 9 22 1 23 9 24 9 25 3 26 2 27 4 28 9 29 3 30 3;
param capaciteRessource := 1 6 2 15 3 17;
param besoinRessource : 1 2 3 :=
                    1   1 2 6
                    2   2 7 2
                    3   4 4 1
                    4   2 1 9
                    5   1 4 6
                    6   1 3 5
                    7   1 2 5
                    8   3 4 10
                    9   3 1 5
                    10   4 2 8
                    11   2 6 9
                    12   3 5 4
                    13   2 3 3
                    14   3 1 1
                    15   3 3 8
                    16   2 3 2
                    17   4 1 4
                    18   1 7 1
                    19   4 3 7
                    20   2 6 1
                    21   3 8 2
                    22   4 5 2
                    23   3 2 10
                    24   2 5 3
                    25   4 3 5
                    26   3 5 3
                    27   4 5 7
                    28   1 7 7
                    29   1 1 5
                    30   3 3 5;
end;

