data;
param nombreJob := 10;
param nombreRessource := 3;
param duree := 1 8 2 2 3 7 4 5 5 2 6 4 7 2 8 5 9 9 10 7;
param capaciteRessource := 1 8 2 10 3 18;
param besoinRessource : 1 2 3 :=
                    1   3 8 9
                    2   4 1 3
                    3   4 7 9
                    4   2 8 4
                    5   3 8 2
                    6   4 5 10
                    7   3 4 2
                    8   3 2 2
                    9   4 6 4
                    10   2 5 1;
end;

