data;
param nombreJob := 90;
param nombreRessource := 3;
param duree := 1 1 2 6 3 1 4 1 5 1 6 10 7 10 8 5 9 8 10 8 11 6 12 2 13 7 14 10 15 3 16 8 17 10 18 8 19 10 20 2 21 8 22 9 23 8 24 1 25 7 26 6 27 3 28 2 29 10 30 8 31 3 32 3 33 7 34 9 35 1 36 1 37 9 38 9 39 2 40 3 41 4 42 5 43 6 44 6 45 3 46 10 47 1 48 10 49 6 50 10 51 4 52 5 53 6 54 8 55 2 56 6 57 10 58 5 59 7 60 1 61 3 62 3 63 5 64 5 65 8 66 6 67 5 68 10 69 10 70 5 71 8 72 4 73 3 74 1 75 5 76 5 77 10 78 3 79 7 80 3 81 8 82 1 83 1 84 5 85 4 86 9 87 9 88 4 89 7 90 3;
param capaciteRessource := 1 6 2 16 3 18;
param besoinRessource : 1 2 3 :=
                    1   3 7 10
                    2   2 4 3
                    3   1 3 5
                    4   1 4 7
                    5   3 7 1
                    6   3 6 9
                    7   4 3 2
                    8   2 1 1
                    9   1 1 10
                    10   3 8 1
                    11   3 7 7
                    12   2 7 6
                    13   3 4 2
                    14   4 7 1
                    15   3 8 3
                    16   1 8 10
                    17   1 5 9
                    18   2 3 5
                    19   3 5 2
                    20   4 6 4
                    21   2 1 2
                    22   3 5 5
                    23   3 6 5
                    24   4 2 1
                    25   3 6 9
                    26   4 7 9
                    27   2 7 5
                    28   4 7 10
                    29   1 2 6
                    30   3 1 2
                    31   1 8 2
                    32   3 8 2
                    33   1 7 7
                    34   4 3 8
                    35   1 2 9
                    36   1 7 9
                    37   3 6 2
                    38   1 2 4
                    39   1 7 1
                    40   3 8 2
                    41   3 8 8
                    42   1 6 2
                    43   3 3 6
                    44   1 2 8
                    45   2 6 4
                    46   1 1 5
                    47   2 2 2
                    48   1 2 7
                    49   3 8 10
                    50   2 1 6
                    51   1 1 3
                    52   4 2 6
                    53   4 5 2
                    54   1 3 10
                    55   2 7 8
                    56   3 4 9
                    57   3 2 6
                    58   1 3 8
                    59   1 5 1
                    60   1 7 8
                    61   1 8 10
                    62   4 8 9
                    63   1 1 3
                    64   1 7 7
                    65   3 5 9
                    66   3 2 4
                    67   1 6 8
                    68   4 3 3
                    69   4 3 4
                    70   1 1 4
                    71   3 1 3
                    72   3 7 9
                    73   4 3 10
                    74   4 5 6
                    75   3 8 9
                    76   3 1 3
                    77   2 5 6
                    78   1 3 10
                    79   2 6 4
                    80   3 5 1
                    81   3 2 10
                    82   3 4 8
                    83   2 8 7
                    84   3 3 6
                    85   1 2 10
                    86   2 7 1
                    87   1 1 3
                    88   1 2 6
                    89   2 6 5
                    90   3 2 1;
end;

