data;
param nombreJob := 90;
param nombreRessource := 3;
param duree := 1 1 2 6 3 1 4 6 5 8 6 4 7 7 8 6 9 3 10 9 11 7 12 8 13 8 14 4 15 8 16 7 17 5 18 3 19 8 20 3 21 6 22 9 23 10 24 5 25 7 26 1 27 8 28 3 29 1 30 5 31 1 32 9 33 9 34 8 35 1 36 5 37 1 38 7 39 7 40 4 41 2 42 9 43 9 44 8 45 5 46 9 47 10 48 5 49 6 50 5 51 10 52 5 53 10 54 7 55 6 56 5 57 6 58 9 59 6 60 2 61 2 62 10 63 7 64 5 65 8 66 10 67 9 68 6 69 1 70 10 71 8 72 6 73 1 74 5 75 1 76 10 77 4 78 2 79 9 80 5 81 9 82 7 83 5 84 1 85 8 86 9 87 3 88 3 89 3 90 10;
param capaciteRessource := 1 4 2 13 3 13;
param besoinRessource : 1 2 3 :=
                    1   3 5 3
                    2   4 2 5
                    3   2 3 6
                    4   3 5 7
                    5   1 1 8
                    6   1 2 2
                    7   4 3 1
                    8   2 4 9
                    9   1 6 9
                    10   3 5 1
                    11   4 1 3
                    12   4 8 7
                    13   3 8 2
                    14   1 8 4
                    15   2 7 9
                    16   4 7 10
                    17   3 2 7
                    18   3 7 10
                    19   3 6 10
                    20   1 7 2
                    21   3 3 7
                    22   4 7 10
                    23   3 4 1
                    24   2 4 8
                    25   3 5 5
                    26   1 5 5
                    27   1 7 8
                    28   3 5 10
                    29   3 2 6
                    30   3 5 4
                    31   1 6 4
                    32   3 7 3
                    33   2 1 3
                    34   4 8 5
                    35   4 1 5
                    36   1 1 6
                    37   2 7 3
                    38   1 2 3
                    39   2 6 9
                    40   2 4 10
                    41   4 7 6
                    42   2 1 3
                    43   2 4 4
                    44   4 5 8
                    45   1 2 6
                    46   2 5 7
                    47   1 6 10
                    48   1 2 9
                    49   3 7 1
                    50   4 5 5
                    51   4 2 4
                    52   2 4 6
                    53   3 6 2
                    54   2 1 3
                    55   4 8 8
                    56   1 1 6
                    57   2 3 1
                    58   4 7 9
                    59   1 6 7
                    60   3 5 7
                    61   3 5 2
                    62   1 4 4
                    63   2 1 4
                    64   1 6 6
                    65   3 6 6
                    66   4 3 1
                    67   2 7 10
                    68   1 1 7
                    69   3 3 9
                    70   2 3 5
                    71   4 5 1
                    72   1 2 9
                    73   2 6 5
                    74   4 6 2
                    75   2 6 4
                    76   2 6 8
                    77   4 4 9
                    78   3 7 2
                    79   2 1 3
                    80   4 3 5
                    81   2 7 3
                    82   3 5 2
                    83   3 7 6
                    84   4 8 8
                    85   1 4 3
                    86   4 3 5
                    87   1 5 7
                    88   2 4 8
                    89   3 2 2
                    90   4 4 9;
end;

