data;
param nombreJob := 40;
param nombreRessource := 3;
param duree := 1 7 2 2 3 2 4 5 5 8 6 6 7 2 8 6 9 4 10 1 11 7 12 8 13 7 14 9 15 9 16 1 17 9 18 1 19 8 20 6 21 4 22 10 23 4 24 8 25 7 26 1 27 3 28 8 29 4 30 9 31 9 32 2 33 4 34 4 35 3 36 10 37 7 38 3 39 9 40 6;
param capaciteRessource := 1 4 2 8 3 10;
param besoinRessource : 1 2 3 :=
                    1   1 1 6
                    2   4 1 10
                    3   1 5 6
                    4   3 1 3
                    5   4 4 3
                    6   4 8 10
                    7   2 7 10
                    8   2 6 8
                    9   1 2 8
                    10   4 6 8
                    11   3 5 7
                    12   1 7 8
                    13   1 7 1
                    14   2 7 10
                    15   1 5 8
                    16   2 3 8
                    17   2 3 9
                    18   2 2 3
                    19   4 5 7
                    20   1 4 1
                    21   2 4 3
                    22   1 7 2
                    23   3 6 7
                    24   3 4 8
                    25   1 6 6
                    26   4 2 1
                    27   1 8 2
                    28   1 7 6
                    29   1 2 2
                    30   1 4 2
                    31   1 7 5
                    32   2 8 9
                    33   1 5 9
                    34   4 2 6
                    35   1 2 3
                    36   3 7 8
                    37   2 5 8
                    38   1 5 10
                    39   2 7 5
                    40   2 7 7;
end;

